Heading,Content
"Here for You All the Time, Any Time ",
Where Feeling Better Can Begin,You’ve got a lot on your mind—and a lot to do. Find@Northeastern is here to support you with free flexible options and tools to help lift you mentally and emotionally.
Just Make One Call—or Visit UHCS,"Simply Call Find@Northeastern at +1.877.233.9477 (U.S.) 855.229.8797 (Canada), or +1.781.457.7777 (International). Speak with an experienced clinician, get a referral for one-to-one counseling and access to free counseling sessions, and even schedule an appointment with a local or video counselor. All Services Offered through Find@Northeastern are Confidential. No information will be shared without your consent. You may review more information about confidentiality and release of medical information here. What to Expect After Your First Call. Click here to learn more about next steps. I am currently living outside the United States and can’t access the international number, what can I do? For student’s residing outside of the United States, there are a few ways to access Find@Northeastern. Students in Canada can call 855.229.8797. If international call +1.781.457.7777. If these numbers are  not accessible, you can use the below link and website to initiate contact. Please note, this is not for international students, rather this service is for students learning outside of the United States. Website : http://studentconnect.resourcesforyourlife.com Website password: Northeastern Smart Phone App: iConnectYou App code: 212530 Email: support@resourcesforyourlife.com   What to expect when you call Find@Northeastern Responsive, empathetic mental health support is available to full-time students, 24 hours a day, 7 days a week, from any location by calling Find@Northeastern at 877.233.9477 (within the U.S.), 855-229-8797 (Canada), or +1.781.457.7777 (International). Calls to Find@Northeastern are answered by licensed master’s level mental health clinicians—people who are there any time, day or night, to provide support and to help you address your immediate concerns. They will also review a care and safety plan as well as recommendations for next steps. These steps may include a referral to:  Referral to unlimited in person or telehealth counseling within your local area. Ongoing in person counseling Ongoing telehealth counseling Exploration of SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more. UHCS services including follow-up visits, medication assessments, or a student support group Free Headspace account  Are calls to Find@Northeastern confidential? All services offered through UHCS, including calls to Find@Northeastern, are confidential. No information will be shared with anyone outside of UHCS without your consent. You may review more information about confidentiality and release of medical information here. What happens when I am referred to ongoing in person counseling? If you and the Find@Northeastern clinician decide that a referral to ongoing, in person therapy is appropriate, the clinician will try to connect you by phone—in that moment—with a therapist in the local community. If the therapist you’re calling is available, you can speak with them directly and schedule an appointment for the coming days. If the therapist is not available at the time of the call, the Find clinician will help you leave a voicemail for the therapist to call you back and review scheduling options. Referrals for in person therapy are available for full-time students in the U.S. and some parts of Canada. Please contact UHCS or Find@Northeastern for more details. What happens when I am referred to ongoing telehealth? If you and the Find@Northeastern clinician decide that a referral to ongoing telehealth counseling is appropriate, the clinician will connect you via phone with a Find Navigator who will submit the referral. A counselor will then get in touch with you to schedule your first appointment. From your first appointment forward, you can connect with that therapist on video in real time. Telehealth is conducted by licensed clinicians via a secure videoconference platform called Zoom, which is similar to Skype. What if I am looking for specialized treatment? Through Find@Northeastern, all Northeastern students have unlimited free counseling sessions without using insurance. Find@Northeastern clinicians treat a range of issues, but they do not provide specialized care such as treatment for eating disorders, neuro-psychological testing, treatment for substance use or medication management. If you need to see a clinician who offers specialized care, Find@Northeastern will help locate an appropriate clinician who accepts your insurance. What if I want a counselor with specific demographics/identities or who speaks a language other than English? We make every effort to match you with a Find@Northeastern clinician who meets your demographic, identity, and language preferences; however, if one is not available through Find@Northeastern, we can initiate a referral through your insurance to find a clinician who meets your preferences. How much will face-to-face and video counseling cost? Full-time students enrolled in both the fall and spring semester, including N.U.In students, have access to unlimited free counseling. We make every effort possible to connect you with a therapist who will accept your insurance. Why might I be referred to treatment in the local community rather than connected with a clinician at UHCS? For students based in Boston, the clinicians at UHCS are here to offer brief assessment, follow-up visits and connection to ongoing care as needed. Clinicians in the community are generally able to provide longer-term treatment and more consistent and flexible scheduling, such as evening, Saturday, weekly, and telehealth (online) appointments. I saw a therapist through Find@Northeastern last year and used all of my available ten sessions. How do I reconnect with a therapist for unlimited free visits? As of fall 2021, Northeastern students are eligible for unlimited sessions through Find@Northeastern. If you are looking to reconnect with a therapist, call Find@Northeastern to discuss your current needs and to initiate a new referral. Let the Find clinician know if you are interested in reconnecting with the therapist you saw in the past. They will check to see if that therapist is currently available and if so, they will work to reconnect you with them. If that therapist is not currently available, they will assist you in connecting with another therapist. What is SilverCloud? If moments of anxiety or sadness sometimes stop you in your tracks, Find@Northeastern offers an online program to help you move past those feelings on your own and build resilience as you go. SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.  Several sessions are available in both Spanish and English. You can choose to self-guide or work with a SilverCloud coach who will support you throughout the process.  It will help you build the tools and strategies that could improve your days – and your academic performance.  Go to https://student.silvercloudhealth.com/signup Select Northeastern University from the drop-down menu Create an account using your Northeastern email address You will receive a confirmation email from SilverCloud, you must respond in order to complete the log-in process  Can I access Find@Northeastern after I graduate? All full-time students graduating in May can access Find@Northeastern benefits, including the 24/7 support line and referrals for free visits, through the end of May. If you are looking for support options past May, we recommend you reach out to Find@Northeastern prior to May 31 to explore options available through your insurance. Full-time students graduating in August and December can access Find@Northeastern benefits through the last month of their final semester. If you are graduating during these months and looking for support options past graduation, we recommend you reach out to Find@Northeastern prior to August 31st for summer graduates and December 31st for fall graduates. I received a referral to a therapist through Find@Northeastern in the past but I did not connect with a clinician. I am interested in doing so now. How do I reconnect? Reach out to Find@Northeastern to initiate a new referral and discuss your current needs. How do I register for Headspace? Headspace is available for all full time students through Find@Northeastern. To register for Headspace click here. "
Guide Yourself Toward Success,"If moments of anxiety or sadness sometimes stop you in your tracks, Find@Northeastern offers an online program to help you move past those feelings on your own and build resilience as you go. SilverCloud, a digital on-demand mental health and well-being platform provides students with customized strategies to manage depression, anxiety, sleep issues, stress, resilience, and more.  Several sessions are available in both Spanish and English. You can choose to self-guide or work with a SilverCloud coach who will support you throughout the process.  It will help you build the tools and strategies that could improve your days – and your academic performance.  Go to https://student.silvercloudhealth.com/signup Select Northeastern University from the drop-down menu Create an account using your Northeastern email address You will receive a confirmation email from SilverCloud, you must respond in order to complete the log-in process  "
Feeling The Pressure,Ever felt like it’s all just too much? You’re not alone. College students around the country are reporting the same.
"When you’ve got something weighing on your mind, we can help. ","Call Find@Northeastern at +1.877.233.9477 (U.S.), 855.229.8797 (Canada) or +1.781.457.7777 (International)."
24/7 mental health support,"Support and resources that help you find yourself, your peace of mind, and your distinctive path.  +1.877.233.9477 (U.S.), 855.229.8797 (Canada), or +1.781.457.7777 (International)  "
Support starts with a call,"Get 24/7 support at Find@Northeastern at +1.877.233.9477 (U.S.), or  855.229.8797  (Canada) or +1.781.457.7777 (International). You’ll speak with a licensed mental health counselor who will listen, offer guidance, and help you set a plan."
Unlimited free counseling sessions,"On your first call with Find@Northeastern, they will help you connect with local providers or telehealth therapists. "
Video Counseling,"Wherever you are, there’s someone you can trust as close as your phone, iPad, or laptop. Find@Northeastern offers licensed video counselors you can connect with for support. "
